,entry_time,exit_time,entry_price,exit_price,shares,profit_loss,stop_loss,take_profit,exit_reason,capital
0,2024-03-08,,25.9,,386.0,0.0,24.604999999999997,28.490000000000002,buy,0.6000000000003638
1,2024-03-08,2024-04-05,25.9,24.99,386.0,-355.2600000000002,24.604999999999997,28.490000000000002,sell_signal,9644.74
2,2024-04-29,,26.1,,369.0,0.0,24.795,28.710000000000004,buy,11.840000000000146
3,2024-04-29,2024-06-05,26.1,28.710000000000004,369.0,959.090000000002,24.795,28.710000000000004,take_profit,10603.830000000002
4,2024-07-15,,28.2,,375.0,0.0,26.79,31.020000000000003,buy,26.830000000001746
5,2024-07-15,2024-07-24,28.2,31.020000000000003,375.0,1053.5000000000018,26.79,31.020000000000003,take_profit,11657.330000000004
6,2024-08-22,,31.35,,371.0,0.0,29.7825,34.48500000000001,buy,24.4800000000032
7,2024-08-22,2024-10-04,31.35,31.92,371.0,207.47000000000116,29.7825,34.48500000000001,sell_signal,11864.800000000005
8,2024-10-23,,32.29,,367.0,0.0,30.675499999999996,35.519000000000005,buy,12.370000000004438
9,2024-10-23,2024-10-31,32.29,37.39,367.0,1867.7000000000007,30.675499999999996,35.519000000000005,take_profit,13732.500000000005
10,2024-12-26,,40.45,,339.0,0.0,38.4275,44.495000000000005,buy,17.950000000004366
11,2024-12-26,2025-01-02,40.45,38.4275,339.0,-689.6275000000005,38.4275,44.495000000000005,stop_loss,13042.872500000005
