date,open,high,low,close,volume,ema10,vwma20,rsi14
2025-01-17,434.09,434.48,428.17,429.03,26197510.0,,,
2025-01-16,428.7,429.49,424.39,424.58,15300020.0,,,
2025-01-15,419.13,428.15,418.27,426.31,19637840.0,,,
2025-01-14,417.81,419.74,410.72,415.67,16935859.0,,,
2025-01-13,415.24,418.5,412.29,417.19,17604779.0,,,
2025-01-10,424.63,424.71,415.02,418.95,20201131.0,,,
2025-01-08,423.46,426.97,421.54,424.56,15054580.0,,,
2025-01-07,429.0,430.65,420.8,422.37,18139070.0,,,
2025-01-06,428.0,434.32,425.48,427.85,20573650.0,,,
2025-01-03,421.08,424.03,419.54,423.35,16662939.0,423.94285487365795,,
2025-01-02,425.53,426.07,414.85,418.58,16896471.0,422.9677903511747,,
2024-12-31,426.1,426.73,420.66,421.5,13246510.0,422.70091937823383,,
2024-12-30,426.06,427.55,421.9,424.83,13158700.0,423.08802494582767,,
2024-12-27,434.6,435.22,426.35,430.53,18117711.0,424.44111131931356,,57.52722937927397
2024-12-26,439.08,440.94,436.63,438.11,8199927.0,426.92636380671104,,65.304010506207
2024-12-24,434.65,439.6,434.19,439.33,7164543.0,429.181570387309,,66.37128198554969
2024-12-23,436.74,437.65,432.83,435.25,19152520.0,430.2849212259801,,59.75169529840321
